1. YEAR,2. TRIFD,3. FRS ID,4. FACILITY NAME,5. STREET ADDRESS,6. CITY,7. COUNTY,8. ST,9. ZIP,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FOREIGN PARENT CO NAME,19. FOREIGN PARENT CO DB NUM,20. STANDARD FOREIGN PARENT CO NAME,21. FEDERAL FACILITY,22. INDUSTRY SECTOR CODE,23. INDUSTRY SECTOR,24. PRIMARY SIC,25. SIC 2,26. SIC 3,27. SIC 4,28. SIC 5,29. SIC 6,30. PRIMARY NAICS,31. NAICS 2,32. NAICS 3,33. NAICS 4,34. NAICS 5,35. NAICS 6,36. DOC_CTRL_NUM,37. CHEMICAL,38. ELEMENTAL METAL INCLUDED,39. TRI CHEMICAL/COMPOUND ID,40. CAS#,41. SRS ID,42. CLEAN AIR ACT CHEMICAL,43. CLASSIFICATION,44. METAL,45. METAL CATEGORY,46. CARCINOGEN,47. PBT,48. PFAS,49. FORM TYPE,50. UNIT OF MEASURE,51. 5.1 - FUGITIVE AIR,52. 5.2 - STACK AIR,53. 5.3 - WATER,54. 5.4 - UNDERGROUND,55. 5.4.1 - UNDERGROUND CL I,56. 5.4.2 - UNDERGROUND C II-V,57. 5.5.1 - LANDFILLS,58. 5.5.1A - RCRA C LANDFILL,59. 5.5.1B - OTHER LANDFILLS,60. 5.5.2 - LAND TREATMENT,61. 5.5.3 - SURFACE IMPNDMNT,62. 5.5.3A - RCRA SURFACE IM,63. 5.5.3B - OTHER SURFACE I,64. 5.5.4 - OTHER DISPOSAL,65. ON-SITE RELEASE TOTAL,66. 6.1 - POTW - TRNS RLSE,67. 6.1 - POTW - TRNS TRT,68. POTW - TOTAL TRANSFERS,69. 6.2 - M10,70. 6.2 - M41,71. 6.2 - M62,72. 6.2 - M40 METAL,73. 6.2 - M61 METAL,74. 6.2 - M71,75. 6.2 - M81,76. 6.2 - M82,77. 6.2 - M72,78. 6.2 - M63,79. 6.2 - M66,80. 6.2 - M67,81. 6.2 - M64,82. 6.2 - M65,83. 6.2 - M73,84. 6.2 - M79,85. 6.2 - M90,86. 6.2 - M94,87. 6.2 - M99,88. OFF-SITE RELEASE TOTAL,89. 6.2 - M20,90. 6.2 - M24,91. 6.2 - M26,92. 6.2 - M28,93. 6.2 - M93,94. OFF-SITE RECYCLED TOTAL,95. 6.2 - M56,96. 6.2 - M92,97. OFF-SITE ENERGY RECOVERY T,98. 6.2 - M40 NON-METAL,99. 6.2 - M50,100. 6.2 - M54,101. 6.2 - M61 NON-METAL,102. 6.2 - M69,103. 6.2 - M95,104. OFF-SITE TREATED TOTAL,105. 6.2 - UNCLASSIFIED,106. 6.2 - TOTAL TRANSFER,107. TOTAL RELEASES,108. 8.1 - RELEASES,109. 8.1A - ON-SITE CONTAINED,110. 8.1B - ON-SITE OTHER,111. 8.1C - OFF-SITE CONTAIN,112. 8.1D - OFF-SITE OTHER R,113. 8.2 - ENERGY RECOVER ON,114. 8.3 - ENERGY RECOVER OF,115. 8.4 - RECYCLING ON SITE,116. 8.5 - RECYCLING OFF SIT,117. 8.6 - TREATMENT ON SITE,118. 8.7 - TREATMENT OFF SITE,119. PRODUCTION WSTE (8.1-8.7),120. 8.8 - ONE-TIME RELEASE,121. PROD_RATIO_OR_ ACTIVITY,122. 8.9 - PRODUCTION RATIO
2023,19124MNLMN4737D,110000336707,AMUNEAL MANUFACTURING,4737 DARRAH ST,PHILADELPHIA,PHILADELPHIA,PA,19124,,,40.016593,-75.081845,,NA,,AMUNEAL MANUFACTURING CORP,NA,,NA,NO,332,Fabricated Metals,,,,,,,332322,,,,,,1323221755162,Ammonia,NO,0007664417,7664-41-7,152389,NO,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,PRODUCTION,0.890
2023,16148NTRST2797F,110000331187,INTERSTATE CHEMICAL CO INC,2797 FREEDLAND RD,HERMITAGE,MERCER,PA,16148,,,41.196111,-80.471944,,INTERSTATE CHEMICAL CO INC,044313443,INTERSTATE CHEMICAL CO INC,NA,,NA,NO,4246,Chemical Wholesalers,,,,,,,424690,,,,,,1323221684071,Methyl isobutyl ketone,NO,0000108101,108-10-1,24851,YES,TRI,NO,Non_Metal,YES,NO,NO,R,Pounds,25.000,51.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76.000,0.000,0.000,76.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,76.000,,PRODUCTION,1.000
2023,15857CRBNG800TH,110000330482,GRAFTECH USA LLC,800 THERESIA STREET,SAINT MARYS,ELK,PA,15857,,,41.430600,-78.545940,,GRAFTECH INTERNATIONAL LTD,877176578,GRAFTECH INTERNATIONAL LTD,NA,,NA,NO,335,Electrical Equipment,,,,,,,335991,,,,,,1323221696774,"Benzo[g,h,i]perylene",NO,0000191242,191-24-2,40576,YES,PBT,NO,Non_Metal,NO,YES,NO,R,Pounds,1.200,82.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,83.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,83.200,0.000,0.000,82.000,0.000,0.000,0.000,0.000,0.000,0.000,3800.000,0.000,3882.000,1.000,,
2023,16003RMCDVROUTE,110038167113,CLEVELAND-CLIFFS STEEL CORP /BUTLER WORKS,210 PITTSBURGH RD,BUTLER,BUTLER,PA,16001,,,40.829260,-79.942730,,CLEVELAND-CLIFFS INC,147964571,CLEVELAND-CLIFFS INC,NA,,NA,NO,331,Primary Metals,,,,,,,331110,,,,,,1323223228077,Nickel compounds,NO,N495,N495,650036,YES,TRI,YES,Metal complound categories,YES,NO,NO,R,Pounds,32.000,21.000,46.000,0.000,0.000,0.000,0.000,0.000,132116.000,0.000,0.000,0.000,0.000,0.000,132215.000,0.000,0.000,0.000,0.000,9117.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,434.000,3692.000,0.000,0.000,36.000,0.000,0.000,13279.000,0.000,13457.000,0.000,0.000,0.000,13457.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,26736.000,145494.000,0.000,132116.000,99.000,4126.000,9153.000,0.000,0.000,0.000,13457.000,0.000,0.000,158951.000,,PRODUCTION,0.820
2023,16037CNCCRLOWER,110056955335,ADVANCED POLYMER TECHNOLOGY,109 CONICA LN,EVANS CITY,BUTLER,PA,16033,,,40.807450,-80.082350,,NA,,NA,NA,,NA,NO,325,Chemicals,,,,,,,325510,325211,,,,,1323221635535,Chromium compounds (except for chromite ore mined in the Transvaal Region),NO,N090,N090,649475,YES,TRI,YES,Metal complound categories,NO,NO,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33250.000,0.000,0.000,0.000,0.000,0.000,0.000,33250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33250.000,33250.000,0.000,0.000,0.000,33250.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,33250.000,,PRODUCTION,1.300
2023,1614WSTRLL251WH,110060261390,SSAB WEAR SOLUTIONS ASTRALLOY,251 WHEELER PL.,SHARON,MERCER,PA,16146,,,41.226317,-80.515344,,SSAB ENTERPRISES LLC,827586491,SSAB ENTERPRISES LLC,NA,,NA,NO,332,Fabricated Metals,,,,,,,332313,,,,,,1323221680731,Nickel,NO,0007440020,7440-02-0,149674,YES,TRI,YES,Elemental metals,YES,NO,NO,R,Pounds,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3111.000,0.000,0.000,0.000,0.000,0.000,0.000,3111.000,0.000,5298.000,0.000,0.000,0.000,5298.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,8409.000,3113.000,0.000,0.000,2.000,3111.000,0.000,0.000,0.000,0.000,5298.000,0.000,0.000,8411.000,,PRODUCTION,2.270
2023,17406NWSTNRD24X,110000333657,NEW STANDARD CORP,74 COMMERCE WAY,YORK,YORK,PA,17406,,,40.000930,-76.625290,,NA,,NA,NA,,NA,NO,332,Fabricated Metals,,,,,,,332119,,,,,,1323222276166,Lead,NO,0007439921,7439-92-1,149583,NO,PBT,YES,Elemental metals,YES,YES,NO,R,Pounds,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,492.000,0.000,0.000,0.000,492.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,492.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,492.000,0.000,0.000,492.000,,PRODUCTION,1.000
2023,16823SPLCNSUPEL,110000583878,SUPELCO,595 N HARRISON RD,BELLEFONTE,CENTRE,PA,16823,,,40.883440,-77.739780,,EMD HOLDING CORP,963709014,EMD HOLDING CORP,NA,,MERCK KGAA,NO,334,Computers and Electronic Products,,,,,,,334516,,,,,,1323221543046,Toluene,NO,0000108883,108-88-3,25452,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,671.000,671.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1342.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10224.000,0.000,10224.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,10224.000,1342.000,0.000,0.000,1342.000,0.000,0.000,0.000,10224.000,0.000,0.000,0.000,0.000,11566.000,,PRODUCTION,1.000
2023,17981WSTWDUSRTE,110010970235,RAUSCH CREEK GENERATION LLC,490 WEST MAIN STREET,TREMONT,SCHUYLKILL,PA,17981,,,40.619100,-76.450200,,RAUSCH CREEK LAND LP,079483100,RAUSCH CREEK LAND LP,NA,,NA,NO,2211,Electric Utilities,,,,,,,221112,,,,,,1323221747823,Mercury  And Mercury Compounds,YES,N458,N458,650028,YES,PBT,YES,Metal complound categories,NO,YES,NO,R,Pounds,0.000,0.710,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.710,0.000,0.000,0.000,0.000,153.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,153.910,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,153.910,154.620,0.000,0.000,0.710,0.000,153.910,0.000,0.000,0.000,0.000,0.000,0.000,154.620,,ACTIVITY,0.910
2023,18936TWPHL130CO,110000335744,ITW PERFORMANCE POLYMERS,130 COMMERCE DR,MONTGOMERYVILLE,MONTGOMERY,PA,18936,,,40.232891,-75.224869,,ILLINOIS TOOL WORKS INC,005146428,ILLINOIS TOOL WORKS INC,NA,,NA,NO,325,Chemicals,,,,,,,325211,,,,,,1323221600950,Xylene (mixed isomers),NO,0001330207,1330-20-7,84970,YES,TRI,NO,Non_Metal,NO,NO,NO,R,Pounds,19.000,169.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,188.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,55.000,0.000,55.000,0.000,0.000,58.000,0.000,0.000,0.000,58.000,0.000,113.000,188.000,0.000,0.000,188.000,0.000,0.000,0.000,55.000,0.000,0.000,0.000,58.000,301.000,,PRODUCTION,0.810
